case,initial_oil_cut,pattern_area,porosity,permeability,thickness,dp_coefficient,Np
1,0.002,20,0.07,250,300,0.6,370.62
2,0.002,20,0.16,50,100,0.3,300.92
3,0.015,70,0.16,50,100,0.3,1153.14
4,0.015,70,0.16,250,100,0.3,1176.6
5,0.002,20,0.07,50,100,0.3,131.99
6,0.002,20,0.16,250,100,0.6,269.13
7,0.002,70,0.07,50,100,0.3,482.13
8,0.002,20,0.07,50,300,0.6,412.25
9,0.002,20,0.07,250,300,0.3,416.92
10,0.002,20,0.16,250,300,0.6,846.07
11,0.015,20,0.07,250,100,0.3,131.7
12,0.002,70,0.16,50,100,0.6,1010.74
13,0.002,70,0.16,250,300,0.6,2021.12
14,0.015,70,0.07,250,300,0.3,1533.52
15,0.002,20,0.16,50,300,0.6,925.53
16,0.015,20,0.16,50,300,0.6,972.68
17,0.015,70,0.07,50,300,0.6,1418.12
18,0.015,20,0.07,50,300,0.6,417.54
19,0.015,70,0.16,50,100,0.6,1078.98
20,0.015,20,0.16,50,100,0.6,316.49
21,0.002,20,0.07,250,100,0.6,119
22,0.002,20,0.16,50,100,0.6,309.11
23,0.002,20,0.07,50,100,0.6,119.51
24,0.002,70,0.16,50,300,0.6,2355.3
25,0.015,70,0.16,250,300,0.6,2356.36
26,0.002,70,0.07,50,300,0.3,1446.75
27,0.015,70,0.07,250,100,0.3,513.79
28,0.015,20,0.16,250,300,0.6,899.28
29,0.015,20,0.07,250,300,0.3,426.1
30,0.002,70,0.16,250,300,0.3,2670.12
31,0.002,70,0.07,50,300,0.6,1323.56
32,0.015,70,0.16,50,300,0.6,2572.5
33,0.002,70,0.07,250,300,0.3,1469.78
34,0.015,20,0.16,250,100,0.3,342.49
35,0.015,20,0.07,50,100,0.3,136.63
36,0.002,20,0.16,250,100,0.3,310.31
37,0.015,70,0.07,50,100,0.6,471.22
38,0.002,70,0.07,250,300,0.6,1164.98
39,0.015,20,0.16,250,100,0.6,298.65
40,0.002,70,0.16,50,100,0.3,1102.51
41,0.015,20,0.07,250,300,0.6,383.56
42,0.002,70,0.07,250,100,0.3,497.11
43,0.015,20,0.07,50,300,0.3,442.61
44,0.015,20,0.16,250,300,0.3,994.69
45,0.002,70,0.07,50,100,0.6,445.07
46,0.015,70,0.07,50,300,0.3,1484.61
47,0.015,20,0.07,50,100,0.6,131.65
48,0.002,20,0.07,250,100,0.3,123.64
49,0.015,70,0.07,250,100,0.6,440.23
50,0.015,20,0.07,250,100,0.6,119.98
51,0.015,70,0.07,50,100,0.3,499.58
52,0.002,20,0.07,50,300,0.3,390.56
53,0.002,70,0.16,50,300,0.3,2701.5
54,0.002,70,0.16,250,100,0.3,1128.18
55,0.002,20,0.16,250,300,0.3,944.57
56,0.015,20,0.16,50,300,0.3,892.97
57,0.015,70,0.16,250,100,0.6,997.39
58,0.015,70,0.16,250,300,0.3,2764.6
59,0.002,70,0.07,250,100,0.6,394.13
60,0.002,20,0.16,50,300,0.3,922.99
61,0.015,70,0.16,50,300,0.3,2806.1
62,0.015,20,0.16,50,100,0.3,324.13
63,0.015,70,0.07,250,300,0.6,1329.81
64,0.002,70,0.16,250,100,0.6,887.15
