case,initial_oil_cut,pattern_area,porosity,permeability,thickness,dp_coefficient,Np
1,0.001,20,0.23,100,120,0.4,545.72
2,0.001,60,0.07,100,120,0.6,374.42
3,0.01,20,0.07,200,120,0.4,166.95
4,0.001,20,0.23,200,120,0.4,547.14
5,0.01,20,0.23,200,60,0.6,225.36
6,0.001,20,0.23,100,120,0.6,453.36
7,0.001,60,0.23,200,60,0.4,809.37
8,0.01,20,0.07,200,60,0.6,61.73
9,0.001,20,0.23,200,120,0.6,439.46
10,0.001,20,0.07,200,60,0.4,72.12
11,0.001,60,0.07,100,120,0.4,499.54
12,0.01,60,0.07,100,120,0.4,517.32
13,0.01,60,0.07,100,120,0.6,409.99
14,0.01,20,0.07,100,60,0.6,64.65
15,0.001,60,0.23,100,120,0.6,1223.31
16,0.01,20,0.23,100,120,0.6,502.73
17,0.001,20,0.07,100,120,0.6,129.28
18,0.01,20,0.23,200,120,0.6,464.34
19,0.01,60,0.07,200,60,0.6,200.74
20,0.01,60,0.23,200,120,0.6,1340.12
21,0.01,60,0.23,100,120,0.6,1369.98
22,0.001,60,0.23,200,120,0.6,1152.13
23,0.01,20,0.07,100,120,0.6,138.74
24,0.01,20,0.23,100,60,0.6,235.65
25,0.001,60,0.23,200,120,0.4,1610.16
26,0.001,20,0.07,100,60,0.4,70.54
27,0.001,20,0.23,200,60,0.6,211.79
28,0.001,60,0.23,100,60,0.4,819.01
29,0.01,60,0.23,200,120,0.4,1706.12
30,0.001,20,0.07,200,120,0.6,120.29
31,0.01,20,0.07,200,120,0.6,131.24
32,0.001,20,0.07,200,120,0.4,157.23
33,0.01,20,0.07,200,60,0.4,75.75
34,0.01,60,0.23,200,60,0.4,852.29
35,0.01,60,0.07,200,60,0.4,249.97
36,0.001,20,0.07,200,60,0.6,48.37
37,0.001,20,0.23,100,60,0.4,258.3
38,0.01,20,0.07,100,120,0.4,165.63
39,0.001,20,0.07,100,60,0.6,59.75
40,0.001,60,0.07,200,60,0.4,239.74
41,0.01,20,0.23,100,60,0.4,280.83
42,0.01,20,0.23,200,60,0.4,278.95
43,0.001,60,0.23,100,60,0.6,611.28
44,0.01,60,0.07,200,120,0.6,415.29
45,0.01,60,0.23,100,60,0.4,849.57
46,0.001,60,0.23,200,60,0.6,575.97
47,0.001,20,0.23,200,60,0.4,258.07
48,0.001,60,0.23,100,120,0.4,1644.5
49,0.001,60,0.07,200,120,0.4,491.39
50,0.01,20,0.07,100,60,0.4,74.99
51,0.01,60,0.07,100,60,0.4,251.9
52,0.001,60,0.07,200,60,0.6,174.62
53,0.001,20,0.23,100,60,0.6,217.98
54,0.001,60,0.07,100,60,0.6,184.5
55,0.001,60,0.07,100,60,0.4,244.21
56,0.01,60,0.07,200,120,0.4,517.48
57,0.01,20,0.23,100,120,0.4,567.29
58,0.01,60,0.07,100,60,0.6,197.79
59,0.01,60,0.23,200,60,0.6,667.48
60,0.01,20,0.23,200,120,0.4,571.18
61,0.01,60,0.23,100,60,0.6,685.4
62,0.001,20,0.07,100,120,0.4,158.71
63,0.001,60,0.07,200,120,0.6,354.45
64,0.01,60,0.23,100,120,0.4,1709.72
