case,initial_oil_cut,pattern_area,porosity,permeability,thickness,dp_coefficient,Np
1,0.05,20,0.204,10,100,0.3,462.89
2,0.05,60,0.204,40,100,0.3,1440.85
3,0.05,60,0.07,10,100,0.6,476.06
4,0.05,20,0.07,10,100,0.6,154.35
5,0.05,20,0.204,40,150,0.6,721.23
6,0.05,60,0.204,10,150,0.3,1970.38
7,0.01,20,0.07,40,100,0.3,134.62
8,0.01,60,0.07,10,100,0.3,429.97
9,0.05,20,0.07,40,150,0.3,234.02
10,0.01,60,0.204,10,150,0.3,1789.51
11,0.05,60,0.204,10,150,0.6,2106.13
12,0.01,20,0.204,40,100,0.3,411.84
13,0.05,20,0.204,10,100,0.6,461.93
14,0.01,60,0.07,40,100,0.6,400.84
15,0.01,60,0.204,10,100,0.6,1260.79
16,0.05,60,0.204,40,150,0.6,2014.02
17,0.01,60,0.07,10,150,0.6,651.06
18,0.05,20,0.07,10,150,0.6,232.13
19,0.01,60,0.07,40,150,0.6,602.71
20,0.05,60,0.204,10,100,0.6,1396.74
21,0.05,60,0.07,40,150,0.6,682.69
22,0.01,20,0.07,10,150,0.3,215.28
23,0.01,20,0.07,40,150,0.3,208.18
24,0.01,20,0.07,40,100,0.6,123.59
25,0.01,20,0.204,10,150,0.3,598.08
26,0.01,20,0.204,40,150,0.3,591.12
27,0.05,60,0.204,40,150,0.3,2141.39
28,0.05,20,0.204,40,100,0.6,477.66
29,0.01,60,0.07,10,150,0.3,613.89
30,0.05,60,0.204,10,100,0.3,1338.38
31,0.05,20,0.204,40,150,0.3,668.53
32,0.05,20,0.07,40,100,0.6,157.42
33,0.01,20,0.204,10,100,0.3,425.24
34,0.01,60,0.07,40,100,0.3,468.07
35,0.05,20,0.07,10,150,0.3,228.4
36,0.01,60,0.07,40,150,0.3,686.09
37,0.01,60,0.204,10,150,0.6,1882.53
38,0.05,60,0.07,40,100,0.3,489.22
39,0.01,20,0.204,10,150,0.6,627.49
40,0.05,60,0.07,40,100,0.6,451.89
41,0.05,20,0.07,10,100,0.3,157.03
42,0.01,60,0.204,40,150,0.3,1968.58
43,0.01,20,0.07,10,100,0.6,124.96
44,0.01,20,0.07,10,150,0.6,201.1
45,0.05,60,0.07,10,100,0.3,472.73
46,0.01,20,0.204,10,100,0.6,411.79
47,0.05,60,0.204,40,100,0.6,1328.42
48,0.01,20,0.07,10,100,0.3,134.96
49,0.01,60,0.204,10,100,0.3,1193.31
50,0.05,60,0.07,10,150,0.6,714.03
51,0.05,20,0.07,40,150,0.6,238.05
52,0.05,20,0.204,40,100,0.3,458.46
53,0.01,60,0.204,40,100,0.6,1158.51
54,0.05,60,0.07,10,150,0.3,680.5
55,0.05,20,0.204,10,150,0.3,651.48
56,0.01,60,0.07,10,100,0.6,423.37
57,0.01,20,0.204,40,100,0.6,399.56
58,0.05,20,0.07,40,100,0.3,159.32
59,0.05,20,0.204,10,150,0.6,695.11
60,0.01,60,0.204,40,100,0.3,1302.16
61,0.01,20,0.204,40,150,0.6,636.43
62,0.05,60,0.07,40,150,0.3,739.65
63,0.01,60,0.204,40,150,0.6,1744.07
64,0.01,20,0.07,40,150,0.6,198.96
